order_id,order_timestamp,customer_id,product_id,category,price,quantity,status
1,2024-05-27 13:21:15,1169,20,books,59.23,7,delivered
2,2023-02-18 11:48:49,648,297,books,13.51,3,delivered
3,2023-12-11 15:12:08,4299,92,fashion,13.89,5,shipped
4,2023-11-11 00:13:32,286,85,electronics,976.3,4,shipped
5,2025-07-13 11:46:20,939,3,books,8.9,6,delivered
6,2024-06-24 10:40:15,2721,64,books,67.72,8,cancelled
7,2025-10-23 03:20:09,2579,294,books,7.22,2,delivered
8,2024-08-07 15:58:15,2317,8,electronics,235.23,9,pending
9,2024-11-23 22:42:16,807,184,electronics,362.16,8,delivered
10,2024-12-08 05:06:49,2712,212,home,1628.76,8,delivered
11,2023-05-04 23:28:06,222,46,books,46.86,3,shipped
12,2024-10-04 16:04:47,3162,164,books,58.24,3,delivered
13,2024-06-10 00:15:57,4546,197,electronics,71.71,1,delivered
14,2023-01-27 17:41:45,4331,259,books,6.96,7,shipped
15,2024-05-02 09:47:56,16,109,fashion,260.83,5,delivered
16,2025-01-17 17:29:39,1050,111,books,59.42,9,shipped
17,2024-09-03 13:56:38,4505,51,electronics,351.17,4,delivered
18,2024-03-27 18:03:17,983,125,fashion,253.72,4,shipped
19,2025-08-24 17:32:49,1367,143,fashion,283.01,6,delivered
20,2024-10-26 05:23:02,2053,241,books,29.64,8,delivered
21,2025-02-03 14:49:37,4838,64,home,314.05,2,shipped
22,2025-03-01 20:36:34,792,76,fashion,56.06,3,delivered
23,2025-07-25 06:02:41,2248,224,home,2391.44,4,shipped
24,2023-12-13 10:11:26,1576,45,books,35.2,1,delivered
25,2024-09-12 11:05:07,4035,94,books,45.28,4,delivered
26,2024-10-24 01:38:52,2262,44,home,1582.47,5,delivered
27,2025-01-31 01:45:07,4231,247,fashion,33.84,1,delivered
28,2025-05-06 23:07:16,2962,195,home,674.66,2,delivered
29,2025-06-27 05:56:25,3480,189,home,2530.17,9,delivered
30,2025-10-20 20:29:57,2027,189,books,20.28,6,shipped
31,2025-05-13 14:09:03,2091,56,home,2001.75,6,delivered
32,2025-08-26 08:36:40,528,193,home,1474.98,6,delivered
33,2025-01-14 14:45:12,2752,90,fashion,394.69,2,delivered
34,2024-09-03 19:26:26,3716,9,books,16.81,9,shipped
35,2023-05-12 16:39:58,936,89,books,58.44,10,delivered
36,2023-02-06 05:34:15,712,166,electronics,377.9,9,delivered
37,2023-06-03 00:44:55,1237,217,home,2894.41,3,delivered
38,2024-09-01 16:12:25,115,297,electronics,344.44,10,delivered
39,2025-08-12 17:22:13,1526,195,books,41.67,8,delivered
40,2024-12-24 06:54:18,3078,289,electronics,250.55,1,delivered
41,2025-07-25 02:09:15,3654,43,fashion,286.34,1,delivered
42,2023-07-29 07:06:44,2750,92,electronics,521.87,8,delivered
43,2025-02-14 18:30:07,1565,94,electronics,63.0,2,delivered
44,2025-01-08 03:17:50,1018,52,electronics,613.7,3,delivered
45,2024-02-03 16:31:15,1292,4,home,341.1,1,delivered
46,2025-08-28 14:53:20,4159,33,electronics,738.83,1,delivered
47,2024-10-21 17:54:03,1985,224,electronics,145.15,8,shipped
48,2023-02-08 08:01:29,3134,33,electronics,398.69,7,delivered
49,2025-10-18 08:30:38,170,151,home,2283.71,5,shipped
50,2024-10-29 13:51:09,1475,253,fashion,137.09,1,delivered
51,2023-03-22 09:39:01,788,297,books,21.49,6,pending
52,2024-09-19 23:26:32,1369,44,home,2494.69,2,pending
53,2025-07-31 08:30:35,971,252,fashion,54.4,4,delivered
54,2024-07-03 12:52:54,1303,273,fashion,115.48,7,delivered
55,2023-12-14 14:07:02,3173,143,books,24.99,9,delivered
56,2023-06-17 11:02:39,2221,169,books,41.8,4,delivered
57,2023-02-06 09:55:17,1111,207,electronics,668.68,10,delivered
58,2023-08-15 09:23:07,2965,114,books,58.97,2,delivered
59,2025-05-02 01:09:07,4878,159,fashion,348.09,8,shipped
60,2024-11-15 14:13:25,1265,39,home,876.34,10,delivered
61,2024-05-13 18:32:14,2039,210,fashion,25.23,4,delivered
62,2025-04-21 06:21:04,1272,268,electronics,151.17,5,delivered
63,2023-06-19 11:12:56,464,253,electronics,465.1,4,delivered
64,2023-01-19 07:01:22,4319,141,books,22.84,8,pending
65,2023-05-08 12:44:42,3919,247,home,1718.6,10,delivered
66,2024-05-20 06:59:49,3824,101,fashion,378.67,9,shipped
67,2024-12-29 13:08:19,1737,104,home,603.47,10,pending
68,2023-06-23 06:59:22,554,154,fashion,324.77,10,delivered
69,2025-04-11 16:46:46,1832,208,home,155.53,7,delivered
70,2024-02-04 07:43:25,1319,228,books,48.2,3,delivered
71,2025-07-15 07:42:05,3880,14,electronics,101.94,8,delivered
72,2025-04-03 09:02:44,3287,80,home,2828.87,3,delivered
73,2023-07-25 07:40:20,2217,179,home,1021.4,6,pending
74,2024-02-07 04:34:00,2242,72,fashion,181.47,8,delivered
75,2023-04-16 11:48:55,3162,228,fashion,89.58,3,delivered
76,2025-07-14 09:20:29,2841,254,books,19.25,5,shipped
77,2023-07-03 12:03:06,4720,296,home,1612.54,6,delivered
78,2025-05-21 20:56:29,1698,194,fashion,319.97,9,delivered
79,2024-06-01 01:38:17,33,116,home,1095.0,9,shipped
80,2024-12-27 01:13:50,2229,225,home,2092.94,6,delivered
81,2025-03-16 04:02:34,4921,240,home,2778.04,2,delivered
82,2023-01-05 16:47:56,1764,217,home,2782.58,8,shipped
83,2024-12-03 19:24:58,4176,119,electronics,787.43,6,shipped
84,2024-01-28 08:11:53,1732,81,books,40.76,5,delivered
85,2025-09-06 15:57:40,888,200,home,1392.55,4,delivered
86,2023-12-23 03:30:07,1901,161,home,1557.64,8,delivered
87,2024-10-28 03:50:44,3216,241,electronics,583.01,2,delivered
88,2024-10-08 04:48:27,984,118,home,1987.99,4,delivered
89,2024-07-29 21:00:41,634,146,electronics,184.25,7,cancelled
90,2023-06-17 20:19:43,835,205,home,2521.33,10,delivered
91,2023-08-23 21:29:49,344,278,home,432.19,3,delivered
92,2023-01-07 19:57:03,4141,188,electronics,838.51,6,delivered
93,2025-09-12 07:49:14,4288,207,electronics,139.97,9,delivered
94,2025-02-11 21:37:13,1373,145,home,2947.55,6,delivered
95,2025-05-08 06:05:32,515,7,books,67.19,1,delivered
96,2023-10-31 01:30:20,1919,180,books,7.18,2,delivered
97,2024-11-14 23:27:21,1575,100,electronics,803.76,7,pending
98,2025-04-22 16:40:20,4477,112,electronics,407.8,8,delivered
99,2024-10-09 09:18:27,4217,182,home,2201.58,3,delivered
100,2025-01-07 08:42:03,1604,290,books,68.81,3,shipped
101,2024-04-20 18:18:31,3754,287,electronics,818.24,2,delivered
102,2023-07-20 23:14:03,4495,269,electronics,632.01,5,delivered
103,2024-08-10 19:10:08,2920,274,home,1854.02,4,delivered
104,2023-09-28 07:43:28,446,98,fashion,275.05,9,delivered
105,2024-05-22 21:53:11,3968,32,fashion,334.37,7,delivered
106,2024-05-12 15:34:31,343,43,books,12.21,5,delivered
107,2024-01-03 12:10:59,4281,160,electronics,739.93,4,pending
108,2024-01-31 13:54:33,1546,174,electronics,116.2,5,delivered
109,2025-09-10 14:38:23,3047,41,electronics,937.46,1,shipped
110,2024-08-22 23:01:58,2036,101,books,15.6,8,delivered
111,2023-10-22 10:13:20,758,6,books,47.38,9,delivered
112,2024-08-28 18:51:33,196,93,home,369.0,5,delivered
113,2025-03-29 01:37:55,4098,123,fashion,386.9,8,delivered
114,2023-09-11 10:10:05,3381,2,books,64.84,7,delivered
115,2024-11-29 21:48:48,1877,160,electronics,515.63,4,delivered
116,2025-02-14 07:58:24,539,165,books,25.62,5,delivered
117,2024-06-06 21:53:57,3736,61,fashion,141.95,7,delivered
118,2024-08-31 19:27:50,3138,226,electronics,655.37,6,delivered
119,2024-10-22 21:20:48,1310,255,electronics,173.23,6,delivered
120,2023-11-01 06:36:32,2602,85,home,1320.87,3,delivered
121,2023-03-01 14:18:29,4249,92,electronics,604.39,10,delivered
122,2023-04-01 19:00:45,3061,114,home,1458.87,7,delivered
123,2023-01-15 17:30:12,647,103,books,58.77,7,delivered
124,2025-06-09 00:36:25,488,209,home,2596.43,4,delivered
125,2024-07-09 13:57:34,3161,59,home,1005.99,10,delivered
126,2023-04-05 21:10:14,712,252,electronics,908.11,5,pending
127,2024-02-28 14:25:10,574,226,electronics,807.32,2,delivered
128,2024-03-16 18:17:33,118,161,electronics,343.91,6,delivered
129,2024-05-08 11:03:48,4010,209,fashion,120.66,9,shipped
130,2023-11-30 12:58:44,3642,143,electronics,151.61,6,delivered
131,2023-07-03 08:18:34,3604,190,home,2127.34,7,delivered
132,2023-02-25 22:40:14,2429,283,books,57.37,1,cancelled
133,2023-07-03 08:50:56,4736,22,home,894.96,3,delivered
134,2024-08-15 07:25:40,4722,270,electronics,190.36,8,pending
135,2023-04-05 16:29:33,3968,209,books,46.6,2,delivered
136,2023-07-28 11:14:50,2022,270,books,59.97,9,delivered
137,2024-09-05 19:25:37,2511,185,fashion,179.56,5,delivered
138,2025-04-11 03:53:54,1586,246,fashion,150.88,5,delivered
139,2023-11-16 07:11:02,2618,117,books,66.7,2,cancelled
140,2025-09-05 03:48:06,3708,10,home,791.43,8,shipped
141,2024-06-17 16:26:31,4620,149,electronics,298.63,9,shipped
142,2023-10-25 07:59:18,800,281,home,2724.27,9,delivered
143,2024-02-12 18:12:07,2564,104,fashion,299.93,9,delivered
144,2023-03-30 11:41:43,4964,173,fashion,246.46,4,delivered
145,2025-07-31 11:09:54,4660,29,home,2107.04,8,delivered
146,2023-11-07 00:55:24,4025,56,electronics,609.89,10,shipped
147,2024-12-27 16:21:24,1158,95,home,525.14,9,delivered
148,2023-05-18 09:08:48,1856,261,fashion,52.05,7,delivered
149,2023-02-17 15:43:40,4504,91,fashion,96.35,10,delivered
150,2024-08-20 07:08:23,1411,207,home,2551.21,1,cancelled
151,2024-02-27 01:54:39,1524,251,books,17.83,1,delivered
152,2025-07-12 04:44:15,2744,203,home,1150.53,8,shipped
153,2024-09-29 06:39:02,4640,62,fashion,16.46,6,delivered
154,2025-01-04 10:23:15,4536,26,fashion,48.77,9,delivered
155,2024-02-13 18:27:51,3766,41,fashion,160.84,9,delivered
156,2024-08-06 10:35:14,1753,109,electronics,993.47,5,delivered
157,2024-07-01 17:31:05,4712,57,home,541.72,3,shipped
158,2025-04-29 07:35:48,2070,215,electronics,876.51,7,shipped
159,2025-04-03 19:01:25,3660,69,home,744.02,2,delivered
160,2024-08-24 07:13:07,985,213,books,11.07,2,delivered
161,2024-05-21 02:10:48,536,136,books,69.95,9,delivered
162,2023-03-08 17:58:06,2522,54,home,1473.03,8,delivered
163,2024-03-01 11:25:18,913,283,electronics,614.36,10,delivered
164,2025-08-29 15:41:16,4017,193,home,1909.64,3,pending
165,2025-02-01 01:53:28,1677,18,books,39.12,5,delivered
166,2024-08-30 22:32:44,4064,234,home,349.72,9,delivered
167,2024-07-01 03:52:24,2240,290,home,579.29,10,delivered
168,2025-05-06 09:58:45,4619,292,fashion,375.53,9,delivered
169,2024-12-24 12:49:23,4645,15,electronics,259.79,8,delivered
170,2025-04-28 17:39:14,4851,141,home,2771.39,7,delivered
171,2025-08-08 13:46:59,1537,76,books,53.45,6,shipped
172,2023-06-25 00:29:48,4463,242,fashion,192.43,5,delivered
173,2024-11-18 01:19:14,3797,284,home,1021.08,6,delivered
174,2023-08-04 14:30:35,1076,74,fashion,167.0,5,delivered
175,2024-06-28 19:19:56,4289,64,home,855.26,7,delivered
176,2025-03-18 07:45:04,3918,274,fashion,54.68,2,delivered
177,2024-03-27 14:09:20,1996,57,home,651.77,4,delivered
178,2024-05-28 16:12:29,2013,54,home,261.04,2,delivered
179,2023-09-05 06:54:38,4764,89,electronics,295.96,9,delivered
180,2023-01-26 23:23:34,1271,78,fashion,45.2,4,shipped
181,2025-03-09 19:07:01,3009,65,fashion,120.13,8,delivered
182,2023-01-12 12:45:41,4808,278,books,58.63,3,pending
183,2024-11-02 03:27:37,2142,40,home,1587.1,1,delivered
184,2025-01-20 08:12:24,4456,16,fashion,99.92,4,pending
185,2023-07-01 05:54:36,1381,263,home,299.75,4,shipped
186,2024-07-26 05:30:09,1998,29,home,1569.83,7,delivered
187,2023-01-05 16:49:21,1932,23,home,2796.3,9,delivered
188,2023-11-03 04:42:11,4567,83,books,13.49,3,shipped
189,2025-07-28 17:03:32,242,208,home,310.28,3,shipped
190,2024-09-04 16:12:57,3015,197,books,63.75,3,delivered
191,2023-03-22 11:59:13,180,36,fashion,271.47,7,delivered
192,2023-03-23 22:45:05,4665,145,fashion,83.26,6,delivered
193,2025-06-14 00:05:35,4591,32,home,2192.61,5,pending
194,2025-04-04 21:07:34,4940,185,books,45.22,4,delivered
195,2024-08-19 10:53:45,3691,78,home,845.31,3,cancelled
196,2023-02-14 11:05:54,2203,111,fashion,346.35,5,delivered
197,2024-02-14 06:19:22,2851,165,electronics,446.91,9,delivered
198,2023-06-16 12:37:51,1251,173,books,42.42,5,delivered
199,2024-03-21 16:49:56,2880,4,books,12.42,9,delivered
